,station_id,bikes_available,docks_available,time
35499920,90,21,10,8/24/2016 23:44:00
35499921,90,21,10,8/24/2016 23:45:52
35499922,90,21,10,8/24/2016 23:46:58
35499923,90,21,10,8/24/2016 23:49:00
35499924,90,21,10,8/24/2016 23:49:58
35499925,90,21,10,8/24/2016 23:50:52
35499926,90,21,10,8/24/2016 23:52:00
35499927,90,21,10,8/24/2016 23:54:00
35499928,90,21,10,8/24/2016 23:54:58
35499929,90,21,10,8/24/2016 23:55:57
35499930,90,21,10,8/24/2016 23:56:58
35499931,90,21,10,8/24/2016 23:57:50
35499932,90,21,10,8/24/2016 23:59:00
35499933,90,21,10,8/24/2016 23:59:54
35499934,90,21,10,8/25/2016 00:00:56
35499935,90,21,10,8/25/2016 00:01:58
35499936,90,21,10,8/25/2016 00:03:00
35499937,90,21,10,8/25/2016 00:03:54
35499938,90,21,10,8/25/2016 00:05:00
35499939,90,21,10,8/25/2016 00:06:56
35499940,90,21,10,8/25/2016 00:08:54
35499941,90,21,10,8/25/2016 00:10:00
35499942,90,21,10,8/25/2016 00:10:56
35499943,90,21,10,8/25/2016 00:12:00
35499944,90,21,10,8/25/2016 00:13:01
35499945,90,21,10,8/25/2016 00:14:00
35499946,90,21,10,8/25/2016 00:15:01
35499947,90,21,10,8/25/2016 00:15:56
35499948,90,21,10,8/25/2016 00:17:00
35499949,90,21,10,8/25/2016 00:17:59
35499950,90,21,10,8/25/2016 00:18:52
35499951,90,21,10,8/25/2016 00:19:51
35499952,90,21,10,8/25/2016 00:20:52
35499953,90,21,10,8/25/2016 00:21:50
35499954,90,21,10,8/25/2016 00:23:00
35499955,90,21,10,8/25/2016 00:23:59
35499956,90,21,10,8/25/2016 00:24:57
35499957,90,21,10,8/25/2016 00:25:50
35499958,90,21,10,8/25/2016 00:27:52
35499959,90,21,10,8/25/2016 00:28:54
35499960,90,21,10,8/25/2016 00:29:59
35499961,90,21,10,8/25/2016 00:30:54
35499962,90,21,10,8/25/2016 00:31:53
35499963,90,21,10,8/25/2016 00:33:54
35499964,90,21,10,8/25/2016 00:34:50
35499965,90,21,10,8/25/2016 00:36:01
35499966,90,21,10,8/25/2016 00:37:01
35499967,90,21,10,8/25/2016 00:37:54
35499968,90,21,10,8/25/2016 00:39:00
35499969,90,21,10,8/25/2016 00:40:01
35499970,90,21,10,8/25/2016 00:41:59
35499971,90,21,10,8/25/2016 00:42:54
35499972,90,21,10,8/25/2016 00:45:01
35499973,90,21,10,8/25/2016 00:45:59
35499974,90,21,10,8/25/2016 00:46:59
35499975,90,21,10,8/25/2016 00:48:52
35499976,90,21,10,8/25/2016 00:49:58
35499977,90,21,10,8/25/2016 00:50:49
35499978,90,21,10,8/25/2016 00:51:59
35499979,90,21,10,8/25/2016 00:53:54
35499980,90,21,10,8/25/2016 00:54:59
35499981,90,21,10,8/25/2016 00:55:59
35499982,90,21,10,8/25/2016 00:56:54
35499983,90,21,10,8/25/2016 00:57:59
35499984,90,21,10,8/25/2016 01:00:00
35499985,90,21,10,8/25/2016 01:00:56
35499986,90,21,10,8/25/2016 01:03:01
35499987,90,21,10,8/25/2016 01:03:54
35499988,90,21,10,8/25/2016 01:05:00
35499989,90,21,10,8/25/2016 01:06:54
35499990,90,21,10,8/25/2016 01:07:51
35499991,90,21,10,8/25/2016 01:09:00
35499992,90,21,10,8/25/2016 01:10:57
35499993,90,21,10,8/25/2016 01:12:00
35499994,90,21,10,8/25/2016 01:12:54
35499995,90,21,10,8/25/2016 01:14:00
